account_external_id,account_type,display_name,upload_external_id,metadata_title,metadata_genre,metadata_duration_seconds,metadata_bitrate,metadata_format,metadata_collaborators,metadata_album,metadata_year,content_ref,fingerprints_audio_hash,fingerprints_perceptual_hash,device_context_device_hash,device_context_ip,device_context_user_agent,expected_category,profile_type
user_normal_user_000000,user,Alex Johnson,upload_38d2a6ca16f0,My Track 3658,Electronic,308,128,mp3,"[""collab_1""]",,,https://example.com/content/upload_38d2a6ca16f0.mp3,hash_058c68b5bb38408a8ecf00240b573b41,phash_1b0f9e61a5734a8f,device_1322cf74929d4aae,192.168.130.155,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,normal_user
user_normal_user_000001,user,Sarah Williams,upload_8eb04bcb41c6,Song Title 4558,Metal,314,192,m4a,"[""collab_2""]",,2020,https://example.com/content/upload_8eb04bcb41c6.mp3,hash_e2c8c4e19654431d99858df062bbfc97,phash_febfe3f40ea647aa,device_073c4705d64245f1,10.0.25.92,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,normal_user
user_normal_user_000002,user,John Doe,upload_f9c655928b1a,Untitled 1292,Country,195,256,wav,"[""collab_1""]",Album 5,2021,https://example.com/content/upload_f9c655928b1a.mp3,hash_9b3539dfc0b24e1a9643a80189661c02,phash_315fd1a8c0224420,device_ac48998ad12c4020,10.0.98.72,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,normal_user
user_normal_user_000003,user,Jane Smith,upload_7ab687d15367,Untitled 1170,Jazz,282,192,wav,[],,2024,https://example.com/content/upload_7ab687d15367.mp3,hash_53330fda2b444e60bdaf39a2ba524d3f,phash_4ec5cf2b7b184636,device_4069a88682c44b76,192.168.57.176,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,ALLOW,normal_user
user_new_user_000004,user,Beginner,upload_8ed65ceffa84,Untitled 3457,Rock,344,256,wav,"[""collab_4""]",Album 8,,https://example.com/content/upload_8ed65ceffa84.mp3,hash_c07a1b0422c7477e9737e33477261e63,phash_58a4feadbaeb43ff,device_6d0b958cb9b2413d,10.0.191.144,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,new_user
user_new_user_000005,user,Beginner,upload_e11b5c3b3a71,Untitled 2267,Electronic,246,128,mp3,"[""collab_2""]",Album 7,,https://example.com/content/upload_e11b5c3b3a71.mp3,hash_4266a12cf24d47c8b281e5b49b7163b8,phash_5b2fd11f49f5461c,device_4af092f41fc54d93,10.0.153.120,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,new_user
user_normal_user_000006,user,Alex Johnson,upload_ba14e352b7d2,New Release 1828,Classical,231,192,m4a,[],Album 5,2021,https://example.com/content/upload_ba14e352b7d2.mp3,hash_bb4dfa475ca5424ca3cf43bfac1bfbc7,phash_d1fb826aeee94b36,device_56240a5fa45c4374,10.0.28.223,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,ALLOW,normal_user
user_normal_user_000007,user,Jane Smith,upload_0bad48aa2979,Song Title 8690,Indie,273,256,m4a,[],Album 5,,https://example.com/content/upload_0bad48aa2979.mp3,hash_5e12dced37f94df0915a7757df7cc459,phash_475243cacfcd4f70,device_75e3820b5b664649,192.168.62.225,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,ALLOW,normal_user
user_new_user_000008,user,FreshStart,upload_607e1c900671,Untitled 7788,Hip-Hop,162,256,m4a,"[""collab_5""]",Album 4,2023,https://example.com/content/upload_607e1c900671.mp3,hash_33dc73c810e24b57bdbdf386647f8f1e,phash_85c3b6f4e5bd4128,device_9c624498cb724a75,10.0.167.96,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,REVIEW,new_user
user_normal_user_000009,user,Alex Johnson,upload_aa03d86df5c3,Untitled 9639,Pop,178,192,mp3,[],Album 4,,https://example.com/content/upload_aa03d86df5c3.mp3,hash_1a1b3f6701364ead955e26583a65b06f,phash_936c502ae4fc4173,device_bd46d211b8744708,192.168.9.221,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,ALLOW,normal_user
