account_external_id,account_type,display_name,upload_external_id,metadata_title,metadata_genre,metadata_duration_seconds,metadata_bitrate,metadata_format,metadata_collaborators,metadata_album,metadata_year,content_ref,fingerprints_audio_hash,fingerprints_perceptual_hash,device_context_device_hash,device_context_ip,device_context_user_agent,expected_category,profile_type
acct_0e703353986f4fd69e903cf030dd179f,Artist,Johnsonjoshua,upl_3eb319cd30e04ca7a18be5c249855612,Cause bill,Noise,283,256,wav,,,2002,61fd1628-a725-4db7-9088-278a294591a1,0be8f65e7af4b53a7eb23663ad1ec71ac9c0b318,e838fcaba18b18c1,dev-82ab05a44ec941eb,196.89.6.126,Spotify/8.7.0 (Linux; Android 11),legit,normal_user
acct_3a5db291279c4150a83b36aa9968c83c,Basic,Amanda Davis,upl_d2139918285746f7b3e26482528fca45,Measure ago,Classical,202,256,ogg,,Decide LP,2011,0e064699-4403-4719-b255-dc76e6cf3664,09ea75c4f2def872115185c8cc4d944ba7da7e45,6b858623fd456184,dev-51fa41142b124aa9,201.173.150.154,python-requests/2.28.1,legit,normal_user
acct_c8c0a684f3994099b9e85b3946a9e80f,Artist,Kevin Pacheco,upl_ed85084efe104906b9a8a1aec322ceb9,Song,Ambient,256,320,aac,,,2009,7dc03e2f-e0d9-44d7-be57-dbcb1e388bbd,4c85875c410ae866d437b4e1aa8cede9cbb0e586,64383ad4ce36823a,dev-299c86fd2f394859,53.198.170.29,curl/7.68.0,legit,normal_user
acct_c825dd6ea07c4ac89ac01dc3c26b1e54,Basic,Daniel Gallagher,upl_9497380bccfb4f34bdf9aae819e6fe35,Behavior benefit feat. Lindsey,Classical,246,256,mp3,,,2010,fbe7be98-2a90-4113-896e-6133101812f6,b427907561e125c24fedb5161431907bb8d53119,a15e0f4201a4bb2c,dev-1689c562458d4b5c,211.254.147.111,Spotify/8.7.0 (Linux; Android 11),legit,normal_user
acct_8f5b723cd4344700b193c63a814450c1,Basic,Studio815,upl_ccb7cc23535046c4b9c09a95cc4559aa,Untitled Track,Ambient,37,64,mp3,,,2025,1315d41b-c8dd-4dcf-a042-8824a2b7e4a7,59a4bf366e20027fb0920c99610b51d803d032d2,7722ec2e928b594e,dev-3d0c89de19f5,185.62.12.24,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,fraud,bot_farm
acct_2f69bc28373f49bb97a130fd6745350d,Premium,Stacey Ward,upl_812fee3854d947849bffecb0b76eae55,Relate animal feat. Dylan,Classical,275,256,flac,,Early Collection,2018,ecd0757e-d602-49bf-956d-b027ed82b8a0,c24f6e8e3de1b9b936a4a2ac15de7341a1e8c626,b5f0444b87df8730,dev-a10e6307072c4fa1,100.244.18.178,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,legit,normal_user
acct_f6900310faa7484a99a8b826f4c4fdaf,Basic,"Flowers, Records",upl_8ea9a49296da47b5bf101b267b62e42a,Untitled Track,Ambient,63,96,aac,,,2022,c184c025-7eff-44fd-bf62-0a5bb420d33b,06a13854c58121f3233a77c201ef330a98d2a063,ae0bd3ada8f6988c,dev-fe022b79ce0c,210.72.237.234,Bot/1.0,fraud,bot_farm
acct_0a28366c8669447783ea6f5b713c7304,Artist,Carolyn Daniel,upl_bd6ea5bdc13143df8b1ee18ab5651ffc,Left establish,Pop,195,320,flac,,Wish EP,2010,82d36b96-424d-4926-9b30-95fd2d5ef15c,e5597ae1782b432283cc2adf83ce1fa5820ff0a8,ca268d35d56476d6,dev-90fb2edb64404145,202.112.113.102,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,legit,normal_user
acct_32514bd6b38b4a32b16ca39b4697caa8,Premium,Sarah Parsons,upl_184ac41a7b1f4e6cbabbff1efa0b9ed8,Start source feat. Austin,Classical,267,256,aac,,Our Collection,2004,26d5fd20-012d-4045-9a07-8cc52bd712be,7d3a8dcbaf96ff67146c642276d23a1fd7be8b3d,d74849e3c94cff17,dev-3f6a3201ea0046f8,223.249.179.214,curl/7.68.0,legit,normal_user
acct_4801b3b1eb11489682e08ee53a822231,Premium,Thomas Ellis,upl_b058ef59dddc4a75b40f5aeb7220df44,Cause seat,Rock,262,192,aac,Nicole Patterson;Heidi Osborn,,2003,4a2f1aa7-5c79-4178-b957-1ad0b3ba30f5,2f33990508061d4c39e5d5a59a1b7c2ce56ead02,762945863d720f76,dev-b64cba1eab8946bb,37.209.117.182,python-requests/2.28.1,legit,indie_artist
