account_external_id,account_type,display_name,upload_external_id,metadata_title,metadata_genre,metadata_duration_seconds,metadata_bitrate,metadata_format,metadata_collaborators,metadata_album,metadata_year,content_ref,fingerprints_audio_hash,fingerprints_perceptual_hash,device_context_device_hash,device_context_ip,device_context_user_agent,expected_category,profile_type
0eb97b8d-aca3-416d-b435-c3c260b7a7c9,Label,Sean Barber Jr.,806abe0a-7cbf-48bb-bd70-5485ed7dcf60,Grow somebody trouble,Jazz,239,256,mp3,Jerome Jones,Likely,2022,s3://bucket/584a10d3-eb56-4d12-ac22-ad08c8221033,335aa78c-d96e-444b-b500-35688dc0b3b3,cb2019d2-875c-4ea6-8042-f70cf8b327a6,a67570cc-bff0-4c62-bb08-8f8550cc9124,122.162.59.27,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; fil-PH) AppleWebKit/534.42.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.42.6",ALLOW,normal_user
b3a746a3-7edd-4bfe-9e3d-dcd92879de85,Label,Jill Sawyer,c16b482d-cc4d-4aab-a241-e81cacd75cc1,Speak letter,Indie,253,320,mp3,Rodney Murphy,Mission,2022,s3://bucket/082b5c1e-6d48-44c2-831b-2e1ee1d6e158,943489fa-0428-4062-b96d-101aaaf2859a,7170aa8f-83ed-49fa-a15a-c99e1e8b512a,50d0b814-30d4-44df-b24b-fd8da4e95fce,98.25.69.126,"Mozilla/5.0 (iPad; CPU iPad OS 17_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/40.0.803.0 Mobile/11V002 Safari/535.2",ALLOW,normal_user
ff6333ce-7797-4cd5-8742-bcb2ec7541c8,Label,Daniel Delgado,d49fce11-5602-47de-83c8-400fb30d82d9,Nature would similar,Hip Hop,226,256,mp3,Yesenia Bates,Return,2024,s3://bucket/f9320ab5-7d76-4ae1-8e81-f95b8d6ca025,87a18446-14d4-4c8a-80c5-79651070c209,57853cc4-b318-4dd0-a798-c0b6c4a101cc,4d4c90b4-57db-4870-84f1-bfdc08aa6fa1,42.75.182.124,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/4.0),ALLOW,normal_user
8ac9104b-5dfe-415e-b3f3-5ac80924eaf7,Label,Dale Singh,ccc78ca9-7b6d-486c-bcae-2395ad46a74d,Involve professor key,Hip Hop,202,256,mp3,,Itself,2020,s3://bucket/cb9c16ff-a09a-4b83-afa9-b66dcaf716a3,28951f75-85d5-4cdf-bf57-689df9c5f6a6,c4588792-3c84-4044-95a5-bb7b6d1fc943,b1b4d093-5854-4929-8fc3-2fe432b916a6,188.123.209.130,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/4.0),REVIEW,normal_user
701af9a5-f13a-4992-9974-b994cf306cd5,Band,Casey Taylor,b704a1db-247c-448e-bc76-f2f1752ba827,Young citizen cell,Hip Hop,294,256,mp3,,Air,2021,s3://bucket/f6d3aeda-cdb6-40ef-be95-b23efb3b70e7,a68b924d-805a-4cbf-bc9a-c1d634c3f672,cbee0804-47a1-4d66-808e-1695883ef8d5,70248aa2-071c-4b3a-949e-0970dd26294c,113.186.138.140,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3 rv:2.0; lij-IT) AppleWebKit/533.33.7 (KHTML, like Gecko) Version/4.1 Safari/533.33.7",ALLOW,normal_user
0509f130-ea28-4a2a-8465-00c93f1c07c6,Individual,User_92487,b0405b6f-49d9-4e52-bea6-fbcd1ff6fce4,Track 55,Noise,31,128,mp3,,,2025,s3://bucket/9da9d639-9d22-4058-9c98-4a54e047c16e,a0d648d8-8d33-4f56-bc41-97e590fc14b7,d689a56d-7536-419d-90f3-fd637314bf5d,3b3a33c7-5934-4c9b-b306-3627de22b7fb,192.168.1.30,Python-urllib/3.8,QUARANTINE,spam_creator
659364b6-e370-4d9f-bd2d-c3d8042c5930,Individual,User_75175,3b930f88-e272-4d76-a960-61bd9a29b976,Track 79,Noise,35,128,mp3,,,2025,s3://bucket/fe1a0181-c408-4f8a-89b7-b0d956feee94,ff98646a-8a4e-4ee8-b083-7c23efd16867,26b326f6-cbbb-4b6b-acf4-0d58522a0080,ba9e0469-be67-4499-87c7-701dd82cebb1,192.168.1.164,Python-urllib/3.8,QUARANTINE,spam_creator
0f277ace-3074-4069-b503-09e9367bbd3a,Band,Katherine Combs,639514b9-428f-45c9-96fd-9db0d5f672fa,Plan best small,Jazz,243,256,mp3,Breanna Quinn,All,2021,s3://bucket/bd7a0bde-9d5c-46f0-86ed-0aff74111716,3e60f6fc-c455-4f52-ad72-75cb2520ae8e,492987ee-83c0-4c3c-852b-4ad96b7d53a4,ea0d269a-0d7b-4c9d-bd26-94bb560ccb0b,102.109.108.17,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/534.12.2 (KHTML, like Gecko) Version/5.1 Safari/534.12.2",ALLOW,normal_user
90f2d720-b417-4e21-bb94-12175e359ab5,Label_Aggregator,"Long, Bush and Washington",26d40374-7c14-482a-b3a1-d629c118693a,Proactive value-added model,Lo-Fi,213,320,wav,,Compilation Vol 59,2024,s3://bucket/6abfab19-9f2e-414b-9277-c58f9fbca1f9,05e9ce57-f59f-4f12-bf90-797aa0ef150a,c232183f-06c5-47d6-b4a7-12dc03718ab3,585504b9-6b2f-41fa-84ce-924c2b75b3a7,215.180.69.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",REJECT,identity_hopper
be8b3d73-2ba2-49b8-a408-79fe5ad8a42c,Individual,User_75114,5a69211b-d37c-4e4b-8223-725a19b735ab,Track 87,Noise,36,128,mp3,,,2025,s3://bucket/34977a55-0f21-4749-b469-fba81aeb5f02,7507c6f4-dfb9-4db3-8124-f3b4193f205c,1ce47294-1486-4c45-95f2-1a0ac1da7fe9,6ed6071d-84b3-43ca-99aa-8756016c8c48,192.168.1.178,Python-urllib/3.8,QUARANTINE,spam_creator
