account_external_id,account_type,display_name,upload_external_id,metadata_title,metadata_genre,metadata_duration_seconds,metadata_bitrate,metadata_format,metadata_collaborators,metadata_album,metadata_year,content_ref,fingerprints_audio_hash,fingerprints_perceptual_hash,device_context_device_hash,device_context_ip,device_context_user_agent,expected_category,profile_type
acc_20556771a37c452f8e3a50b7a5faf339,Artist,Course Out Records,upl_c970c51156c743bda6a68f23171fae8f,5. Machine Distortion Friction,Noise,164,256,mp3,[],Static Texture Vol. 16,2026,09e27359-7537-40e1-a96c-46cf1e1bb313,41437458217fb4e1438a64227f9629e4fd6843ab,51ae1a54b249c66a5ceac191a7bd7138,c4bdd97afa46de7133e19ffb6ab0a10c,57.82.8.108,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",fraud,bot_farm
acc_7758cad0e8494d93ba89913db88fddbb,Artist,Ashley Barton,upl_c377a79f9e974e2c94542abed931d929,3. Feedback Machine Signal,Noise,114,320,flac,[],Glitch Distortion Feedback Hiss: Static EP,2024,770e34ad-96b2-40d8-b69b-2ab1c818ea33,d1a3258fa7ca82a537571e80aec5bc9f11439236,f3e98b1e7598c92fa1a9a4837bc00364,aaa638a964d93a6ca91140a32dd31504,204.247.235.128,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",legit,normal_user
acc_75fa5f9835b34efe90b05f872f7a9d6d,Artist,Megan Moore,upl_85f504729836414282984306bb0df98d,Signal Friction Machine Static,Noise,58,256,wav,"[""Angel Gordon""]",Single,2026,42474da2-7a67-49ca-ae90-f9a91b58a2d1,f348484dd5d0280f3c7837cacb97f58b7cb16818,83633d99c2ceb97ea5135a51d21dc82d,b8b319a8d6fa7df28eeabdeba333fb01,211.205.76.197,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",legit,normal_user
acc_b6bbd814514b492caa009eaafefc3971,Artist,Painting,upl_f3c4d68599a741079ea599a006ae63d5,Pulse Moon,Pop,223,128,mp3,[],Single,2026,32cd7949-d609-446b-9c99-f008dc8d48ef,79ff13ee6de95973409415245e20fcd1e6c1b85d,691c8ada0caddcc672df3e7705fc3cb6,0a201ee0568dde20e3b67452cc659ed0,16.215.18.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",legit,normal_user
acc_c4ba325caafc4e13b6bb1bda6086896e,Artist,Card,upl_1815ea94c79345899ef4c76d56307e31,Orbit Mirage,Pop,189,192,wav,[],Blue Signal Solstice,2026,d3f5670a-a740-4b25-8432-4a67bff6f3a6,cdbd83a7cbfd492164a50e8b2d37827b2b91ccc8,0a55e436387823c6f997e23bfc5cd06d,236b1b9598878d352642e81fc44f8dce,182.249.144.232,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",legit,normal_user
acc_dc599e3823b042c2b8b9bbd923b1741a,Artist,Terry Coffey,upl_ebc37cf6eeee4ea58fd19d2a1e56c9ea,Midnight Electric Horizon Pulse (feat. Shelley Reynolds),Pop,152,256,mp3,"[""Mary Miller"", ""Rebecca Marquez"", ""Christian Dawson""]",Single,2026,c668d11e-af50-480d-a078-f1113149b667,884af30ccddffc1bc462d8c60d1cfe5d9466c73d,3c13a75fcbffc8c0fd2ed24b77b67b75,c2c54c5f35f88bed1fcdcfec100dd5ed,46.112.120.43,Spotify/1.2.32 (Mac OS X; Darwin 22.6.0),legit,normal_user
acc_5372d5e9b4414dbb8167cbdee4fe7344,Artist,Hair Attorney,upl_aeebe78631534d6e98569731b81919c6,Sunset Blue,Pop,178,256,mp3,"[""Susan Spence""]",Single,2021,2738b416-50ab-48e7-92f7-1ab9bd76a365,b08ac4fe5f03732878b8b60cd17de3f5e2805857,b2a9b7a3fe2eda8baf433420352937b7,29ef3e00283a416b84123be841c44849,197.65.115.20,Spotify/1.2.32 (Windows 10; Win64; x64),legit,normal_user
acc_5f7744fe0c524083a8c20c85c0435dba,Artist,Ask Sounds,upl_36fbcd6c8a2c4c47b42e8fe2c53fbbc5,Waves Stars Night,Ambient,312,192,mp3,[],Dawn Pad Vol. 35,2024,d89e53b4-6670-45e5-bf5d-2d67cd134435,5efa3ddb3f475c2a32540657495411849ecb0a8c,d525c0d70b74163aac32c0693a05aa1c,309409650857fa922a6577c2081ffcc3,206.228.160.212,Spotify/1.2.32 (Mac OS X; Darwin 22.6.0),fraud,bot_farm
acc_e85f7444830848e9a2c39ce4db01ee80,Artist,Elizabeth Kelley,upl_66958153a33b4bd089b219f888d23a83,Wind Stars Fog Night,Ambient,338,256,mp3,"[""Roberto Allen"", ""Melody Lee""]",Night Hush Forest,2022,3d2f73e6-1712-4204-a9af-6e4313246b32,05a463d43c0da1aa6a28335b88282b5ccffca2ab,2447580a3589598979f3b17455ebc4c7,98e1e2d3d04771cb7ab961a093e83416,165.39.238.186,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",legit,normal_user
acc_826547d735584eecb11c2bb8ec43a6ab,Artist,Bill Activity Sounds,upl_79b902c0e1634df8bf2ec910de050c11,Street Cipher Verse Mic,Hip-Hop,554,256,flac,[],Single,2021,f84117bb-ec7c-4ae4-a189-2cc71623031e,9689b545b444f63897fc16e52d7d1d03e5eb845c,f2530d43323521bd78d66ffe22dc6db1,f60ee2b57a4dccbd201fdb3834885cd8,197.66.58.113,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",fraud,bot_farm
acc_dcec35276aae4d11a6ef92b6864d730a,Basic,For Recent Network,upl_0d54692382314a459c4f86142c337f50,01/14 Fog Sleep,Ambient,292,192,flac,[],Aurora Pad Waves,2026,5af405ee-59b8-469a-ba50-978c105ae7bb,5f3ecf3c1eb6a37ed3319817d137cfe81ef88991,8a6078ada463d8403768ee8ed96331d5,b776514397b378be909cac0accaeb585,39.253.38.91,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",fraud,bot_farm
acc_75fa5f9835b34efe90b05f872f7a9d6d,Artist,Megan Moore,upl_36477ffe5648488789eefb198a1a6714,Static Glitch Hiss,Noise,198,320,mp3,[],Single,2024,330d7a82-27ca-4770-a2da-b482ae5a9d0d,70c4a0f35d21d1e129376329a46e86bdde286d58,7d007c2968b71165b1e29b8b91d2a5c8,b8b319a8d6fa7df28eeabdeba333fb01,175.50.85.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",legit,normal_user
acc_5d5111764eff4d699c86f32c057384e9,Artist,Full Realize Studio,upl_c376b33ffd114e93ba4d983360b7f112,02 Feedback Glitch Friction,Noise,79,128,mp3,[],Texture Static Signal,2021,2d4bd051-9775-46fd-becd-ef9fc8d4d696,c6ec8fa173a19722fef53a62994ca4a2c724e5d5,0c3e48ab4e1d29c22f16a5a1d80e6b57,c8b6a61d82a3ef8e85d172aa1c13f0fd,210.57.203.27,python-requests/2.31.0,fraud,bot_farm
acc_4c9c1b60c8cd4c7191d01e9d34d8a6f5,Artist,Easy Official,upl_0789523ea1ab49de9f612e09633874ca,Verse Flow Vibe,Hip-Hop,185,320,flac,[],Single,1996,08520db8-9b6b-4257-9c76-9562c6dd4983,577e6eb2f3e972c88ece8ce673cae8964098125f,2dd32f6e9496cac93b6d21124ffb3d97,2767bb37060c5213d87b2ccc4b7e14ab,117.75.74.8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",legit,normal_user
acc_a268e4296f0d4f21b3a32d38c66843ff,Artist,Away Real Lab,upl_8836509930464c19b40ebf7d0b2c8353,Glitch Texture Feedback,Noise,234,320,mp3,[],Single,2023,a724580e-8441-4456-a197-239d3f3cdf9d,786746b38b68079744f7658e09de3b90adf18129,9ad00ecd7459bff245a95803b7b60a46,37a4e847b57fabc5627b8e2740499453,207.49.248.191,AppleCoreMedia/1.0.0.21D50 (iPhone; U; CPU OS 17_3 like Mac OS X; en_us),fraud,bot_farm
acc_9a71b6c0c12b4714891d7771f6fd72d9,Artist,Colton Martinez,upl_862b3b394ec842ea8ee3b7160c3055d4,Dawn Hush Meditation,Ambient,289,320,wav,[],Single,2026,d98b8a34-d84d-4e52-8fc9-bc8d82329cf2,aefa20c0738ecdf91ec82c7ef3a6ba96c8491650,2e6f2096270ae94663872f15aed158d0,41c7e4a0f207e6af42a9df82d4ee7c17,221.1.11.132,Spotify/1.2.32 (Mac OS X; Darwin 22.6.0),fraud,hacked_account
acc_5372d5e9b4414dbb8167cbdee4fe7344,Artist,Hair Attorney,upl_207e7d120fdf4376a7a6f836eb35d42e,Echo Ripple Blue Glass,Pop,129,256,mp3,[],Single,2009,4dc4d649-c770-480d-b5e1-00d02a7eed2c,f0ff9fa0275aefb621b7ca631827f8891099d828,d8712851ac3c949798b490371fd9685e,29ef3e00283a416b84123be841c44849,197.65.115.63,Spotify/1.2.32 (Windows 10; Win64; x64),legit,normal_user
acc_0e264121f49d49ebbafb07b9648a5557,Artist,Brent Rodgers,upl_c89e08c25dc948138ad74486a32556c9,04 Waves Calm Stars Rain (Remastered),Ambient,325,192,mp3,[],Forest Meditation,2014,f554d59b-3e44-4c3f-af6a-12c955d3ee02,03b2d6510bbefe800c97e434e19ad33c42eff767,083708ef240dbae1c6b35436bcb6e632,2f5c9195bce884ef7d1d2e76b5a02892,219.80.172.84,Spotify/1.2.32 (Mac OS X; Darwin 22.6.0),legit,normal_user
acc_e4e77ae09cfb41d89a686c3c9c5b95a7,Artist,Treat Seat,upl_c7d64355c1be4b58aab1273c2329c19a,Rhythm Flow Verse Cipher,Hip-Hop,197,256,mp3,"[""Mr. Richard Knight PhD"", ""Joseph Williams"", ""Sean Clay""]",Single,2014,998a93ad-5e41-4273-b987-10364924b29f,d458719f68caa21caa40ed90036dce34ea5b39d1,0c84ac468515b3f60165a5f71307c775,51c1331b343890cc8cbacd77fbc8db24,163.174.144.141,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",legit,normal_user
acc_56b279362b6d46bfbc975d4caf1df239,Artist,Consider Deep,upl_e1852d1e72b54b91b6a4c143525043c6,14 Soft Aurora Wind,Ambient,383,192,wav,[],Meditation Aurora (Deluxe),2023,9288c685-b9b2-43c7-bdf0-218b7bb5c181,55feb2216b1b6761bfc04c363cda1dbbb13336f1,50da3b9d96c9d45370a127cf5e60e5a1,02eaf8dfacfaca6aea35a67ae0f38255,122.40.218.118,Spotify/1.2.32 (Mac OS X; Darwin 22.6.0),fraud,bot_farm
acc_7b0255c9bc2e4bd89f3672a3944ff508,Artist,Box Assume,upl_906dec606fc042c991e0fcfb141efee7,Dream Blue Horizon Drift,Pop,33,128,mp3,[],Single,2025,7aed8a3f-1f0f-4933-bccd-890e28ca2b68,f80382c028ddac28c3ede7ccdba7fcd37e368bd3,e19883517b835da01d725f368e2209e0,b776514397b378be909cac0accaeb585,101.82.182.99,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",fraud,bot_farm
acc_97735c0ad829472d9ba9c4101ba6f7fc,Artist,Boy Again Lab,upl_018c6b1e98b7412aa629967e84a45c45,Track 101,Ambient,277,128,mp3,[],Bloom Rain (Deluxe),2022,223a5ddb-9d7b-432b-8089-570fe7466d7b,3dda416c2dfabd2e97d6e7fd497c80f490930585,769e44994354efb1826465f661181e78,6143e2cac0bce48564a2affee1e8048e,136.218.109.49,AppleCoreMedia/1.0.0.21D50 (iPhone; U; CPU OS 17_3 like Mac OS X; en_us),fraud,bot_farm
acc_20556771a37c452f8e3a50b7a5faf339,Artist,Course Out Records,upl_b6755668fd1d4ec9b870df89f4a6c10d,Machine Feedback (feat. Lance Hayes),Noise,196,192,mp3,[],Friction Hiss Vol. 60,2026,a21e4cce-ee5a-45db-8d36-8f1452251ea3,db1a66080886e0a2e78cc2227725dbcd96dcf570,da1dca3f9c9dcd5294f0f0d95f0621bc,c4bdd97afa46de7133e19ffb6ab0a10c,57.82.8.121,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",fraud,bot_farm
acc_10c361fd1c5a41b09d08addd24cd5190,Basic,Fall Hear,upl_51007a9d52b3484ebb77b017ff00d5bb,Street Flow,Hip-Hop,244,320,flac,[],Cipher Street Hustle Vibe,2024,a323214c-9567-43bb-a425-622f716f0271,c4625192a7c905e136f9248c1692d2f5d17c13d1,0f71711fc201d131962b1f39172128b2,f4911d5f956d9e2a0e1b86026326d97f,200.184.96.65,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",legit,normal_user
acc_3c00c0c373b94b2eb67549ec4575bf85,Artist,Sit Prepare Music,upl_5dcff8fce8d44e0a88190a3ec21c986a,Feedback Friction Hiss,Noise,205,320,mp3,"[""Melinda Pollard""]",Glitch Feedback Texture Static,2026,5f57934e-ab55-4911-92b7-37c28d590164,4a16d96c9b6b6fa57d89f406a788723b2c122356,eb6d85b49062d1aeeb6946b19c3753cd,19ac85e289067ddddb09f15431db663f,13.152.74.210,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",legit,normal_user
acc_e4e77ae09cfb41d89a686c3c9c5b95a7,Artist,Treat Seat,upl_001940cbdccd43a89b5ec646f8338808,Flow Bass Rhythm Hustle,Hip-Hop,163,256,mp3,"[""Amanda Mcfarland"", ""Tyrone Matthews""]",Single,2004,c1798471-5787-4aff-9132-e38b2175fa47,5ca6f6cff14effd75b2a27518763cb62fa99c51c,ac2b7a2f1fa99798ac17ec61c5e3e9c7,51c1331b343890cc8cbacd77fbc8db24,193.39.100.89,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",legit,normal_user
